Instance;Size;#Tiles;Value;#Clauses;#Variables;TimeR;MemoryMad;TimeMad;MemoryMer;TimeMer;MemoryBFS;TIMEBFS
125;20;8;3;3378;1056;0.95;2148;281.27;3963.1;723.59;6423.7;1645.51
126;16;8;3;2229;734;0.63;1991.2;1800.2;3936.3;751.33;475.6;1800.1
127;20;8;3;2990;979;0.58;2256;290.42;4089.2;792.64;735;1800.06
128;16;8;3;1872;627;1.23;1879.9;1800.09;4090.2;795.15;828.3;1800.14
129;12;8;3;1443;507;1.02;1333.3;1800.08;4090.4;739.31;356;1800.04
130;20;8;3;3288;1063;0.67;2245.6;326.55;4089;745.1;725.5;1800.11
131;15;8;2;1796;599;0.25;2389.4;1115.13;3935.3;880.67;1069;1800.14
132;16;8;2;2367;762;0.81;1917.5;1800.17;4090.6;966.39;3301.7;1800.13
133;25;8;2;3953;1241;0.39;2247.4;300.87;4090.7;821.63;1702.9;1800.15
134;20;8;2;2805;901;0.47;1921;1800.13;3960.1;767.11;891.4;1800.12
135;20;8;2;2704;850;0.57;1909.7;1800.12;3954.2;719.47;488.9;1800.11
136;15;8;2;1676;576;0.76;2241.2;1359.66;3959.9;802.22;788.3;1800.11
137;16;8;2;1792;616;1.04;1938.9;1800.13;4090.7;785.5;794.8;1800.13
138;15;8;2;2080;683;0.97;2146.5;1800.13;4088.6;842.04;2464.6;1800.19
139;16;8;2;1972;649;0.84;2156.9;1800.13;4090.4;789.04;918.9;1800.13
140;12;8;2;1630;547;0.23;2092.8;1800.18;3876.3;797.63;2988.9;1800.16
141;15;9;3;2236;739;1.24;1943.7;1800.12;3949.7;769.3;632.3;1800.1
142;25;9;3;4796;1521;1.16;2175.5;231.79;3951.8;782.39;1397.1;1800.09
143;25;9;3;4252;1353;0.19;2116.7;172.32;4090;1018.34;1870.4;1800.11
144;16;9;3;3109;1022;0.87;1983.7;1800.11;4090.8;772.56;498;1800.03
145;20;9;3;3288;1075;3.24;1913.2;1800.08;3953.7;825.33;1490.3;1800.07
146;16;9;3;3067;998;1.07;1913.9;1800.08;3933.4;651.54;620.1;1800.05
147;30;9;3;5573;1714;0.85;2099.9;426.03;4083.9;993.49;6405.1;1731.88
148;20;9;3;3471;1135;0.59;2225.9;351.77;4083.4;707.18;1507.9;1800.15
149;20;9;3;3176;1042;0.71;2082.8;342.12;4090.5;983.04;1157.7;1800.11
150;16;9;3;2675;888;0.44;2154;347.31;4091.7;1086.1;816.2;1800.08
151;16;9;2;2895;950;0.95;2242.4;623.2;3957.9;638.39;925.6;1800.14
152;16;9;2;2451;814;0.34;1932.6;1800.13;3962.1;934.31;950.5;1800.09
153;16;9;2;2136;731;1.01;1921.1;452.69;3941.1;725.48;975;1800.12
154;24;9;2;4596;1447;0.24;2165.8;545.12;3958.6;719.54;1479.8;1800.15
155;20;9;2;3493;1111;0.81;1933.2;1800.09;3955.6;759.89;955.5;1800.11
156;15;9;2;2185;728;0.23;2026.5;1800.1;3952.4;807.38;869.9;1800.12
157;15;9;2;2318;780;1.90;1930.7;1800.09;4091.4;1190.57;783.1;1800.13
158;16;9;2;2605;867;0.55;2246.4;508.24;4090.2;688.75;761.4;1800.08
159;18;9;2;2880;941;1.17;1929.1;1800.09;4090.9;836.7;1175.1;1800.1
160;20;9;2;3435;1107;0.93;2318.2;961.69;4088.3;804.86;1829.1;1800.15
